Neighborhood,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Skyland,2017,428566,432833,439366,444500,445350,443900,449650,450650,449866,455100,461666,473500
Skyland,2018,464950,469150,467416,472933,479133,475883,479283,487383,488650,492066,491400,495950
Skyland,2019,495333,502450,502450,506366,497883,499416,497300,491516,496883,499016,503233,503400
Skyland,2020,507383,510800,518000,520266,519233,519450,519666,520250,602083,605583,595533,590166
Skyland,2021,590783,612000,637850,667800,711400,664566,625283,599016,587016,589650,591183,593466
Skyland,2022,601866,608300,672633,686000,680300,706883,688000,788566,742750,709933,689700,0
West Colfax,2017,206057,213900,211042,211957,211857,214485,212700,215500,217428,223514,223371,228171
West Colfax,2018,222757,227900,235471,240971,236685,241242,241757,243085,241628,244900,240285,235228
West Colfax,2019,242314,234557,240000,238242,236785,240285,236114,246457,318914,401957,387242,388471
West Colfax,2020,396828,388785,386942,389100,392400,392714,389628,398371,340771,341785,346057,350257
West Colfax,2021,350900,355357,368028,369728,383157,403857,400814,324442,321928,324085,324657,326785
West Colfax,2022,329700,337614,359628,371171,450000,441157,425285,424685,422142,587800,588871,0
University Hills,2017,244890,246150,253200,254940,255120,255560,251440,248090,253580,257320,263270,263640
University Hills,2018,309010,313510,323710,325170,326230,326600,325570,325940,328400,332290,331580,337290
University Hills,2019,335060,335040,333610,334020,343320,344150,341360,337360,334620,327920,328540,331460
University Hills,2020,338210,340510,345630,347590,349890,407010,353490,356960,413430,416750,421410,425790
University Hills,2021,430940,435090,438320,452440,462880,461350,459310,451770,447840,449530,454010,455400
University Hills,2022,461340,471800,501150,514640,539970,541440,537270,659720,808240,781350,770650,0
Washington Virginia Vale,2017,343220,347390,355700,359180,360910,363770,364420,365580,368020,369290,372840,376710
Washington Virginia Vale,2018,396560,410580,405610,403490,408010,406350,410450,411740,402280,401110,398810,401000
Washington Virginia Vale,2019,406220,403150,402320,403210,401830,401950,401900,403200,403190,401430,402260,405760
Washington Virginia Vale,2020,408610,415100,416920,419170,419610,421460,428840,430290,390390,394680,403200,410030
Washington Virginia Vale,2021,415900,418300,422540,435870,526110,511170,507980,486060,481760,494300,497570,501360
Washington Virginia Vale,2022,507750,526620,563160,573550,581310,564940,548700,660330,607540,640290,633210,0
Country Club,2017,1773760,1777380,1800680,1801100,1825080,1802420,1777980,1773560,1775320,1779280,1783460,1864200
Country Club,2018,1862500,1864800,1928740,1949700,1933380,1893960,1817920,1780540,1764000,1742000,1763140,1784340
Country Club,2019,1782480,1784020,1786900,1803700,1763860,1780460,1802260,1779360,1786040,1765200,1762980,1760700
Country Club,2020,1783880,1783100,1803340,1803160,1803600,1823120,1821480,1822840,1925560,1916760,1876640,1918520
Country Club,2021,1901100,1944240,1947620,2020740,2071460,2173620,2238960,2219040,2219160,2241900,2263640,2285840
Country Club,2022,2308220,2332820,2440000,2480000,2600000,2780000,2695300,2632420,2650500,2590420,2575000,0
Rosedale,2017,428500,437600,451150,456050,461900,465450,466450,465250,464550,457600,455350,460650
Rosedale,2018,455750,458700,485000,483150,490850,487850,490900,487600,482900,484050,484800,491500
Rosedale,2019,489450,492150,491850,491900,489100,509050,507900,500400,498700,498350,497600,499500
Rosedale,2020,499650,505500,511050,510450,511100,515450,515850,519650,519700,528250,537700,544150
Rosedale,2021,552350,557750,562350,582850,600150,613150,614150,598450,591800,593450,595300,600400
Rosedale,2022,610550,624350,677900,704150,698100,682000,656850,635300,647300,615950,593950,0
Clayton,2017,339980,344680,351690,355470,361620,360850,363730,363170,366330,369280,373040,376600
Clayton,2018,376440,379210,393150,398760,400190,402870,402990,408260,407650,409520,413830,417810
Clayton,2019,417680,417750,416680,417650,416940,414910,417790,416820,425110,432240,433560,434820
Clayton,2020,440230,441380,444440,446150,445270,431830,430980,431760,433710,444280,448200,455020
Clayton,2021,458940,466010,465330,493230,520070,514300,503440,489110,483550,484700,485600,485040
Clayton,2022,490870,503620,542240,559460,560360,500350,487240,475420,461410,477900,473550,0
Valverde,2017,252350,256700,262150,258700,262300,263150,262150,262800,264100,266950,270650,275050
Valverde,2018,269600,273050,282100,286700,285750,285500,287700,292700,295600,297200,298750,300650
Valverde,2019,299800,304250,304950,306950,306350,306600,305700,307900,302400,311300,321150,331400
Valverde,2020,340300,340600,343400,347850,399950,404900,398800,399300,401150,410400,412400,412850
Valverde,2021,419200,425250,430100,439000,448650,442150,442700,435800,433050,438450,401500,464700
Valverde,2022,429600,461550,525400,540600,483550,464600,480500,469200,466450,531050,519650,0
Congress Park,2017,692757,709614,719828,719392,718521,727357,724957,713128,724342,718042,727085,724914
Congress Park,2018,722278,732357,756942,759892,759550,758828,769200,769892,773000,774714,776235,776814
Congress Park,2019,779114,780642,774150,783171,777478,778028,774564,782621,769892,776428,777128,781714
Congress Park,2020,784800,784607,786921,787707,785692,787564,789114,782707,809378,814207,810257,815114
Congress Park,2021,827707,845764,855778,895757,915478,923257,932750,901321,897242,901114,905164,916985
Congress Park,2022,929521,965642,1016221,1049071,1066785,1090200,1048364,1005764,1029828,987957,980800,0
Mar Lee,2017,263430,271790,278010,278660,280240,285990,287210,289530,291040,293810,295400,300210
Mar Lee,2018,305100,307510,313720,317700,323620,325010,326750,328810,329230,326610,329500,329870
Mar Lee,2019,332960,334380,333340,335300,334280,331640,332690,332920,334100,334550,334580,336510
Mar Lee,2020,338390,341350,345570,347470,346250,347360,346070,347130,352790,358700,363760,366960
Mar Lee,2021,371410,378450,386280,409410,418620,414060,409200,399800,395540,397190,397790,397240
Mar Lee,2022,401050,407460,445820,464990,468210,460100,458440,452660,447290,459070,466190,0
Globeville,2017,257980,263320,268060,269460,285540,289880,290400,294660,297620,300680,300660,304520
Globeville,2018,305920,308980,299800,307780,312240,310520,313300,320480,322940,322420,327440,318860
Globeville,2019,316320,321660,326040,325860,321880,320540,315140,314780,326760,328340,328860,328620
Globeville,2020,329000,329600,332500,333720,335700,338360,338520,337680,336480,335020,338460,348260
Globeville,2021,359180,367340,372780,390440,400040,384520,373580,364180,362020,362820,362960,363860
Globeville,2022,367880,373500,404840,421560,430020,424760,414500,404580,394320,415100,426740,0
Sloan Lake,2017,579075,588637,598787,601562,602775,618150,618825,617762,605037,623512,627212,633450
Sloan Lake,2018,626262,631237,633437,634687,634937,638475,642600,642562,641850,641787,640725,654112
Sloan Lake,2019,640537,640150,639550,653012,638862,638900,636062,631787,638525,638975,639150,642175
Sloan Lake,2020,658162,666837,663850,665937,675725,681675,667487,668025,685687,699800,698550,700925
Sloan Lake,2021,708362,716525,734387,775512,786462,826312,853675,847500,844812,847387,848662,878537
Sloan Lake,2022,909187,919750,995750,1017650,1292350,1258487,1110750,1140700,1186887,1123612,1127975,0
Overland,2017,262000,264575,266175,265050,283300,288500,283550,285675,299575,298600,297550,299475
Overland,2018,297900,298100,322275,325725,327700,328275,323300,327350,325375,329900,328550,328350
Overland,2019,329725,330150,333225,334400,330425,337350,337500,337125,345550,343150,339175,335250
Overland,2020,336175,342175,344275,344950,346550,348450,347200,350050,358950,361275,363675,370900
Overland,2021,380050,386325,392675,412225,421600,426100,426350,418125,415375,417450,418125,419725
Overland,2022,422825,433025,469350,485225,489300,481750,527750,503500,473650,441925,440225,0
Indian Creek,2017,380250,382500,392175,389925,387525,386050,389350,393000,395550,395650,397200,396875
Indian Creek,2018,397925,401000,405725,407625,411050,409250,408725,401900,405100,403975,406475,413075
Indian Creek,2019,413450,414200,411250,409550,404300,404075,408975,405725,404425,402475,400050,399825
Indian Creek,2020,401550,404450,409025,411925,407400,408875,405050,404275,428975,434525,432900,435000
Indian Creek,2021,440275,441650,449425,472750,477700,482875,483925,477050,474800,481100,485250,488900
Indian Creek,2022,494925,504575,535600,549725,550550,541250,528325,516800,510750,526950,542025,0
Barnum,2017,241220,242140,245520,245240,247840,252040,256580,257040,259780,260100,269440,279100
Barnum,2018,281100,285300,295120,301260,304040,307040,306300,308920,301880,302480,303720,301200
Barnum,2019,300500,309920,310560,309420,312140,319180,318380,315840,318240,317840,321080,324860
Barnum,2020,327800,331000,333640,336340,339280,344740,346240,346880,356200,362360,351620,357240
Barnum,2021,360280,373100,378900,396180,407440,401000,393040,383080,379960,381280,382140,385060
Barnum,2022,392640,395660,419420,473920,488600,475680,459360,452240,464920,448400,437080,0
Fort Logan,2017,483346,498107,508230,509346,510469,510592,509538,505046,497446,497923,501938,504046
Fort Logan,2018,503876,503746,519123,525400,528015,525915,528461,533553,543207,544584,547292,543446
Fort Logan,2019,545353,545253,539615,543892,523692,532346,533246,532169,578169,577538,579438,580846
Fort Logan,2020,583430,586800,591161,591861,591292,593123,603523,605492,619238,631923,639815,642315
Fort Logan,2021,648223,659946,660092,694861,724107,733907,978161,956346,922807,935153,938115,949769
Fort Logan,2022,965823,985576,1043161,1046807,1084384,1074784,1040215,995676,1000184,994846,996776,0
Lowry Field,2017,906800,940733,926583,912283,898683,900350,928533,942583,944083,962533,963683,963816
Lowry Field,2018,967400,966616,982550,957683,944800,944033,945433,946150,950283,951866,968683,970800
Lowry Field,2019,970150,969233,970933,971650,970250,971483,971516,974433,941266,941583,942316,942900
Lowry Field,2020,943666,946016,949816,968616,985983,949766,950333,950516,966966,1024433,1043133,1042133
Lowry Field,2021,1043166,1046216,1047283,1091816,1143666,1132450,1150250,1130816,1146766,1148633,1150333,1170866
Lowry Field,2022,1206866,1229433,1309733,1332150,1450100,1408766,1383183,1358516,1331933,1464850,1458866,0
Montbello,2017,261126,264866,271920,274533,277066,277840,277980,278020,279260,280793,285200,287680
Montbello,2018,288606,290680,298780,304360,306873,311173,314560,316673,318160,320093,320300,322173
Montbello,2019,321813,321320,320613,321286,321026,322033,322040,323306,327153,326793,327553,328766
Montbello,2020,330973,335206,339520,342553,343860,347226,349606,351906,356560,362093,366346,368753
Montbello,2021,374713,377346,381060,398113,405440,410706,409400,402760,395026,398093,399546,402206
Montbello,2022,407066,414313,443766,459446,464513,457120,448633,439813,439593,459900,454993,0
Barnum West,2017,267420,269100,280920,281840,285660,287640,288700,295420,302200,301200,302540,301240
Barnum West,2018,300040,303760,302880,312260,317380,323340,324740,326700,320920,323640,320580,322860
Barnum West,2019,323520,324340,326960,327700,329480,328260,329180,323980,332640,331220,332200,332320
Barnum West,2020,334700,339020,340440,341180,341320,342580,342560,343000,348820,356460,357360,362340
Barnum West,2021,367280,375500,387180,405580,411880,405260,397100,385080,380800,381080,381660,382980
Barnum West,2022,388140,399500,436260,451180,455820,457080,446260,436920,435600,418120,415360,0
Washington Park,2017,1654525,1677493,1676350,1717637,1681012,1687512,1710925,1725350,1735775,1700306,1710393,1677500
Washington Park,2018,1731306,1716281,1748306,1782875,1784062,1788800,1778156,1785237,1790006,1806881,1834581,1830812
Washington Park,2019,1818275,1807031,1790406,1792781,1773325,1768918,1784200,1804606,1776893,1769268,1756875,1746875
Washington Park,2020,1736593,1737912,1761825,1765618,1773650,1778825,1794275,1799468,1793825,1814025,1835156,1850512
Washington Park,2021,1866587,1893012,1898937,1976700,2029575,2128506,2153681,2114256,2119825,2132937,2171075,2184268
Washington Park,2022,2235950,2275806,2487043,2569812,2597768,2734037,2690568,2617381,2689218,2874281,2936931,0
Hale,2017,475883,489175,500666,502516,506275,508691,505716,507075,512425,512166,518341,521333
Hale,2018,526066,527033,523175,528000,529450,532291,537558,536591,537708,538200,538341,540291
Hale,2019,540383,541050,540016,541616,540316,538408,539125,541525,544966,547950,546508,546266
Hale,2020,544875,548216,552391,554050,552608,553783,550891,553041,573600,578483,584433,584858
Hale,2021,594675,603008,611858,639875,659191,659141,630116,613750,608650,612941,618858,625225
Hale,2022,636475,651183,702975,716450,718883,703491,683983,694116,703008,711041,763558,0
Hampden South,2017,297809,301952,308976,308780,309600,310423,314842,313814,311461,309547,312633,312500
Hampden South,2018,314747,316757,326828,331090,331647,332819,334719,333309,333366,338123,336442,332561
Hampden South,2019,334976,334671,333123,333733,333419,333009,334876,335747,330785,329242,328090,329728
Hampden South,2020,331004,333166,352095,349114,372933,370614,384285,386719,351880,373276,408423,409623
Hampden South,2021,414047,420895,429123,441900,453095,460428,463242,455757,453023,461957,464276,470009
Hampden South,2022,477409,490580,521871,543857,540719,527738,509333,492852,495328,513128,518866,0
Platt Park,2017,544950,561541,566483,568533,563525,564158,575233,574650,576033,580375,580900,572533
Platt Park,2018,580825,585408,587491,596758,596133,604608,605766,613708,610325,607991,607883,628816
Platt Park,2019,636000,633741,635233,636383,638725,629600,628458,631441,646908,644241,638975,651258
Platt Park,2020,646050,654491,662216,666658,664450,682025,696283,689825,709600,716958,711016,718200
Platt Park,2021,723641,735733,731708,782391,803233,849783,866075,850933,849783,849041,869841,871150
Platt Park,2022,881075,902516,946433,973408,985025,987825,937000,915125,896375,943375,947633,0
Hampden,2017,306194,310126,314852,312442,315600,315784,313800,313126,313026,314505,315931,318847
Hampden,2018,317268,319431,320736,321257,328678,329221,330494,332510,334500,334821,336136,337968
Hampden,2019,337668,339473,342221,342578,344905,347215,348636,346373,345110,345021,347368,349242
Hampden,2020,349810,353068,357210,357321,363773,364505,360826,360236,363542,369821,372405,377273
Hampden,2021,380289,386268,390036,410784,421747,423757,421610,410705,407763,413778,418600,421573
Hampden,2022,430473,432973,471068,487526,490252,484047,473778,472273,472494,480589,480621,0
City Park,2017,451700,457700,478500,467300,467000,482200,453300,450000,468100,478700,479400,481100
City Park,2018,470500,472200,472200,473600,477600,477100,475400,497800,513500,529500,537800,536300
City Park,2019,539800,532900,530200,524300,518200,516000,519900,509100,460500,463700,465800,467500
City Park,2020,475600,471000,478200,478300,481800,477800,478400,482100,493800,494500,520300,540800
City Park,2021,546000,547200,557200,575900,598300,599400,594700,573300,554400,556100,554700,555300
City Park,2022,571000,582300,570700,643500,654100,656300,652700,644500,950000,884400,889600,0
University Park,2017,886661,912200,920261,914961,911411,918455,923238,918605,928177,929305,945350,944550
University Park,2018,1006016,1013283,1039727,1071533,1045261,1042288,1047811,1053972,1077816,1071777,1068844,1113538
University Park,2019,1103683,1110338,1102727,1083038,1090388,1090038,1085788,1096755,1084688,1084388,1080188,1081633
University Park,2020,1083300,1095711,1106877,1112655,1099594,1087388,1098800,1093794,1095155,1108894,1125350,1144161
University Park,2021,1261744,1295133,1331500,1385705,1381916,1412411,1429072,1390927,1389816,1429833,1469688,1482661
University Park,2022,1524438,1547461,1696894,1730711,1751383,1764388,1941516,1908572,2014522,2027100,2006427,0
Virginia Village,2017,344691,350316,356525,358783,364100,367633,367475,371641,372683,375391,378050,382075
Virginia Village,2018,376950,375075,389616,390916,395383,394116,398691,399641,401633,405016,404450,408091
Virginia Village,2019,407716,406075,408000,417225,416733,413266,411425,411925,407483,407983,408425,410708
Virginia Village,2020,414258,416083,418741,418566,418408,420233,417300,419008,422600,432675,438700,445925
Virginia Village,2021,449575,455791,465133,496666,508875,511700,511891,499983,494416,496366,498666,505091
Virginia Village,2022,512583,524958,566258,583266,573725,584266,560208,616983,638058,626800,619191,0
Cherry Creek,2017,1745131,1769757,1771831,1769394,1750005,1745663,1700026,1708526,1729568,1717668,1736331,1763510
Cherry Creek,2018,1702331,1712226,1786500,1837836,1873357,1882547,1879705,1893926,1880768,1919731,1903421,1832610
Cherry Creek,2019,1860973,1855178,1825105,2254805,2310000,2310089,2283715,2294568,2329142,2328189,2333500,2344757
Cherry Creek,2020,2371347,2367794,2407452,2408384,2019036,2252442,2284484,2283963,2013078,2034605,2514689,2521984
Cherry Creek,2021,2534394,2567915,2578278,2640484,2665526,1963578,2636552,2616552,2390094,2593263,2611042,2644994
Cherry Creek,2022,2668826,2725026,2982184,2995500,3005126,2971273,2908484,3000542,3267973,3290468,3347731,0
Cole,2017,433900,442525,456425,455925,456275,464200,468350,470875,476100,479250,475300,484650
Cole,2018,464300,464200,483450,482900,485800,491200,498600,501600,501750,501275,500550,512500
Cole,2019,504700,506575,506950,516075,516400,515475,512425,524300,520375,521550,521425,521775
Cole,2020,518050,516575,525075,528950,527800,535700,528225,527825,505725,566000,566525,572475
Cole,2021,579275,584125,591425,618750,629850,612625,597125,579375,571925,574450,574150,573600
Cole,2022,582950,595025,643100,665225,676400,654600,612900,645800,671000,682275,675700,0
Villa Park,2017,271160,274150,282940,284050,290300,293710,305450,305800,305460,308220,310990,319190
Villa Park,2018,314290,319780,333450,336790,338340,342850,345290,347240,349010,349280,348370,349960
Villa Park,2019,348580,356160,364010,366000,364490,367680,371530,376280,370160,368760,373140,373270
Villa Park,2020,374850,369500,366790,367860,365970,370560,371140,376020,385080,394340,395210,397010
Villa Park,2021,402700,408450,421290,435560,448100,450610,448400,438820,434450,444690,446990,445810
Villa Park,2022,454990,463190,502910,517600,520640,521020,453120,438960,436750,503980,543860,0
Bear Valley,2017,317385,322314,328914,330142,331971,335242,335142,335557,344542,346228,346200,349657
Bear Valley,2018,349485,350728,359800,362200,365514,364385,362285,365014,366514,366657,367785,370657
Bear Valley,2019,369042,371300,369814,372385,372585,373642,375214,375300,375900,374171,372828,373228
Bear Valley,2020,375114,378557,383728,386771,388157,389571,390571,391785,398957,403928,407485,411485
Bear Valley,2021,417385,424585,430042,455800,463714,459985,456100,444657,441871,444100,445757,446885
Bear Valley,2022,453128,459114,499228,520157,521200,513442,498342,495928,483057,481571,474671,0
Capitol Hill,2017,293470,301014,305462,306925,313370,318700,317992,317281,317974,318366,321103,326729
Capitol Hill,2018,370618,424177,415259,421274,423074,429744,429388,430000,435411,436722,437074,436051
Capitol Hill,2019,430566,433666,433077,437292,434918,435896,436229,439122,460062,460281,448388,444500
Capitol Hill,2020,444974,445011,454692,452322,451577,452496,452911,452685,491996,500255,465629,466888
Capitol Hill,2021,479459,483870,493214,684014,667429,642596,576348,564648,558833,528429,525162,529455
Capitol Hill,2022,528292,481033,542285,540177,546385,494262,480211,575759,668185,695818,694022,0
Lincoln Park,2017,338250,342800,349950,349650,352633,355933,357100,358316,361916,364000,368116,369916
Lincoln Park,2018,364633,368600,374483,380000,394950,394400,397300,399366,400166,398516,400250,403433
Lincoln Park,2019,403300,402600,400750,403383,401550,399650,391366,391183,388900,387983,388300,390466
Lincoln Park,2020,392650,394633,396466,395716,394350,397083,396833,396033,399033,401816,403716,406583
Lincoln Park,2021,409583,411800,412600,423250,427450,438600,457950,450350,448566,451233,452500,454166
Lincoln Park,2022,457600,467533,495366,508300,508466,501366,486533,474466,470183,462750,461500,0
Montclair,2017,520500,528128,532214,530414,536700,535985,538028,534028,534785,533614,534814,539614
Montclair,2018,537228,536457,568471,587142,582814,583400,582828,586485,584114,584071,585800,585028
Montclair,2019,581928,582000,573971,579314,579200,582442,583528,585014,589371,734742,736228,737757
Montclair,2020,742742,748171,754800,758857,756300,842157,855671,858485,867042,875128,880771,886171
Montclair,2021,1059000,1064271,1067900,1130214,1156014,1243000,1255828,1234371,1231271,1259957,1260971,1278228
Montclair,2022,1281071,1313542,1401242,1422557,1431785,1415614,1353357,1288157,1330285,1278685,1362328,0
Marston,2017,365500,370366,375822,378555,384133,386233,384511,385588,384955,386133,389644,394611
Marston,2018,393355,394088,400155,405855,411055,407911,409300,412188,415355,415422,418355,422355
Marston,2019,425400,424222,422177,424311,422600,424822,425033,419177,418555,418177,418977,421833
Marston,2020,424422,427511,435455,440211,439933,443177,442455,443355,443955,455255,461244,466511
Marston,2021,475144,474000,479433,509588,518766,536755,538666,530033,528200,532622,537677,544766
Marston,2022,553811,570322,612088,623366,620333,610100,592222,566733,566022,554944,561600,0
East Colfax,2017,285554,290254,298527,302063,308227,312127,309972,311090,310936,311172,315463,318709
East Colfax,2018,319672,313763,321963,336045,347718,351227,352627,353690,357027,361390,356745,358745
